iter	Passed	Remaining
417	2551	3552
418	2556	3545
419	2562	3539
420	2568	3532
421	2574	3526
422	2580	3519
423	2586	3513
424	2592	3507
425	2598	3501
426	2604	3494
427	2610	3488
428	2616	3482
429	2621	3475
430	2627	3468
431	2632	3461
432	2638	3455
433	2645	3449
434	2650	3442
435	2656	3436
436	2662	3430
437	2669	3425
438	2675	3418
439	2681	3412
440	2687	3406
441	2693	3400
442	2699	3394
443	2705	3388
444	2711	3382
445	2718	3376
446	2723	3369
447	2730	3364
448	2736	3358
449	2742	3351
450	2747	3344
451	2753	3338
452	2759	3332
453	2765	3325
454	2771	3319
455	2777	3313
456	2783	3306
457	2788	3300
458	2794	3293
459	2800	3287
460	2807	3282
461	2813	3276
462	2819	3270
463	2825	3264
464	2831	3258
465	2837	3251
466	2843	3245
467	2850	3239
468	2856	3233
469	2862	3227
470	2869	3222
471	2875	3216
472	2881	3210
473	2887	3203
474	2893	3198
475	2899	3192
476	2905	3185
477	2911	3179
478	2917	3173
479	2923	3166
480	2929	3160
481	2935	3154
482	2941	3148
483	2947	3142
484	2953	3136
485	2959	3130
486	2966	3124
487	2972	3118
488	2978	3112
489	2984	3106
490	2990	3099
491	2995	3093
492	3001	3086
493	3007	3080
494	3012	3073
495	3018	3067
496	3023	3060
497	3029	3053
498	3035	3047
499	3040	3040
500	3046	3034
501	3052	3028
502	3058	3022
503	3064	3015
504	3070	3009
505	3076	3003
506	3082	2997
507	3088	2991
508	3094	2985
509	3100	2978
510	3106	2972
511	3111	2966
512	3118	2960
513	3123	2953
514	3129	2947
515	3135	2941
516	3141	2935
517	3147	2928
518	3153	2922
519	3159	2916
520	3165	2910
521	3171	2904
522	3177	2897
523	3183	2891
524	3189	2885
525	3196	2880
526	3201	2873
527	3207	2867
528	3213	2860
529	3219	2854
530	3225	2848
531	3231	2842
532	3237	2836
533	3242	2829
534	3248	2823
535	3254	2817
536	3260	2811
537	3266	2805
538	3272	2798
539	3278	2792
540	3283	2786
541	3289	2780
542	3296	2774
543	3301	2767
544	3307	2761
545	3313	2755
546	3319	2748
547	3325	2743
548	3331	2736
549	3337	2730
550	3342	2724
551	3347	2716
552	3353	2710
553	3359	2704
554	3365	2698
555	3371	2692
556	3377	2686
557	3383	2680
558	3389	2674
559	3395	2668
560	3402	2662
