iter	Logloss
0	0.6851963733
1	0.677757662922	0.67120989933	0.6624174946
4	0.6561813107
5	0.6497045729
6	0.6436522469
7	0.6380956217
8	0.6318422934
9	0.6263964285
10	0.6238623012
11	0.6193585935
12	0.6152309371
13	0.610084291
14	0.6060565569
15	0.6021249499
16	0.5980938502
17	0.5949267299
18	0.5914901976
19	0.5881787025
20	0.5850028927
21	0.5827939929
22	0.5801945229
23	0.5767438146
24	0.5744745723
25	0.5719630621
26	0.5692192188
27	0.5674046293
28	0.5650737184
29	0.5627457685
30	0.5612643844
31	0.5593284557
32	0.5571432451
33	0.5549174233
34	0.5531352772
35	0.5517753216
36	0.5502776122
37	0.5493136928
38	0.5479542085
39	0.546611191
40	0.5453113791
41	0.5444598483
42	0.543293264
43	0.5417262203
44	0.5403696095
45	0.53915146	046	0.53788047	0.5368046874
48	0.5360175705
49	0.5348842844
50	0.5341427423
51	0.5330400286
52	0.5322934441
53	0.5314711117
54	0.5306993858
55	0.5299638796
56	0.5291878194
57	0.5281916108
58	0.5275210252
59	0.5270558488
60	0.5265497024
61	0.5260525857
62	0.5253204668
63	0.5248879361
64	0.5242605253
65	0.5234409797
66	0.5228314196
67	0.5223295282
68	0.5218019506
69	0.5213079032
70	0.5204098992
71	0.5199280073
72	0.5192989624
73	0.5188486513
74	0.5182232632
75	0.5178012059
76	0.5174610499
77	0.5169438683
78	0.5166185956
79	0.5159202765
80	0.5155479592
81	0.5151813071
82	0.5148111266
83	0.5142649971
84	0.5139685927
85	0.5133479786	86	0.5130182287	87	0.5126235688	0.5088678051
8989	0.5104225629090	0.5099811789191	0.50943400192992	0.5108916793	0.5070664504
94	0.5068677296
95	0.5065558833
96	0.5062698644
97	0.506047985
98	0.5054971212
99	0.505084568
100	0.5048005334
101	0.5045362881
102	0.50102	0.505103	0.5040414733
104	0.5038170057
105	0.5036600305
106	0.5034607895
107	0.5031781684
108	0.5028304995
109	0.5109	0.503111110	0.50517221111111	0.50497173111112	0.504352164113	0.5017703898
114	0.5016340841
115	115	0.5023172116	116	0.5019122117	117	0.5016379685
118	0.501377119	0119	0.5011383456
120	0.50090839121121	0.50068282122	0.5016282909
123123	0.5002530124	124	0.4999387125	0.5007690562
126	126	0.4993006127127	0.49907092128128	0.49883970129129	0.4986735691
130	0.4985544504
131	0.4982776169
132	0.4980419503
133	0.4977730365
134	0.4975415025
135	0.4973119441
136	0.4971235186
137	0.496909889
138	0.496688139	0139	0.496493685
140	0.4963100141	141	0.496024114142	0.495776891143	0.4967794347
14144	0.495187145	0.495268432
146	0.4950860575
147	0.4947925121
148	0.494643605
149	0.4944377291
150	0.4942169837
151	0.4940571753
152	0.4938162779
153	0.4935972609
154	0154	0.4942320332
155	0.4940405656
156	0.4936123648
157	0.49336158	158	0.4930949159	159	0.4929088160	160	0.4926781161	0.4917826365
162	0.4915834517
163	0.4914502891
164	0.491217841
165	0.4910328242
166	0.4908516869
167	0.4906190378
168	0.4904316327
169	0.4900510915
170	0.489886234
171	0.4896322097
172	0.4894180437
173	0.4892230382
174	0.4890848433
175	0.4888073748
176	0.4886597272
177	0.488532317
178	0.4883505351
179	0.488091861
180	0.4878774435
181	0.4876238937
182	0.4875029735
183	0.4873606481
184	0.4871830112
185	0.4870457007
186	0.4868891826
187	0.4866721803
188	0.4865101596
189	0.4863622402
190	0.4861508988
191	0.4860091649
192	0.4858035026
193	0.4857158316
194	0.194	0.48732195	0.195	0.48719196	0.196	0.4870197	0.4197	0.4869198	0.4198	0.4867199	0.199	0.48656200	0.200	0.48644856682201	0.48625202	0202	0.484909203	0.4839805807
204	0.4838186304
205	0.483661516
206	0.4835671667
207	0.4833475849
208	0.4832234166
209	0.4830683079
210	0.4828443384
